Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
56, 0, 30, 0, 2, 1, 2,		56, 0, 30, 0, 30, 2, 2,		27, 0, 2, 0, 2, 3, 2,		38, 2, 7, 2, 7, 4, 2,		27, 0, 2, 0, 2, 5, 2,		128, 0, 125, 0, 125, 6, 2,		128, 0, 125, 0, 125, 7, 2,		7, 125, 139, 125, 139, 8, 2		
60, 2, 4, 2, 4, 1, 1,		91, 31, 36, 31, 36, 2, 2,		28, 7, 26, 7, 26, 3, 2,		77, 26, 31, 26, 30, 4, 2,		38, 2, 7, 2, 7, 5, 2,		7, 125, 139, 125, 139, 6, 2,		102, 139, 165, 139, 165, 7, 2,		102, 139, 165, 139, 165, 8, 2		
82, 4, 42, 4, 30, 1, 1,		82, 4, 42, 36, 41, 2, 1,		142, 30, 80, 30, 80, 3, 2,		142, 30, 80, 30, 80, 4, 2,		28, 7, 26, 7, 26, 5, 2,		113, 165, 186, 165, 186, 6, 2,		105, 165, 173, 165, 173, 7, 1,		113, 165, 186, 165, 186, 8, 2		
82, 4, 42, 31, 36, 1, 1,		52, 41, 46, 41, 46, 2, 2,		1, 66, 84, 80, 84, 3, 2,		1, 66, 84, 80, 84, 4, 2,		77, 26, 31, 26, 31, 5, 2,		129, 212, 232, 212, 232, 6, 2,		41, 186, 212, 186, 212, 7, 2,		41, 186, 212, 186, 212, 8, 2		
93, 36, 41, 36, 41, 1, 2,		81, 44, 51, 46, 51, 2, 1,		35, 84, 104, 84, 104, 3, 2,		35, 84, 104, 84, 104, 4, 2,		93, 36, 41, 36, 41, 5, 2,		114, 237, 253, 237, 253, 6, 2,		10, 232, 237, 232, 237, 7, 2,		129, 212, 232, 212, 232, 8, 2		
133, 42, 44, 42, 44, 1, 1,		112, 51, 58, 51, 58, 2, 1,		43, 104, 114, 104, 114, 3, 2,		43, 104, 114, 104, 114, 4, 2,		81, 44, 51, 44, 46, 5, 1,		26, 279, 293, 279, 293, 6, 2,		36, 253, 279, 253, 279, 7, 2,		10, 232, 237, 232, 237, 8, 2		
52, 41, 46, 44, 46, 1, 2,		109, 58, 62, 58, 62, 2, 1,		21, 116, 117, 116, 119, 3, 1,		120, 114, 119, 114, 119, 4, 2,		117, 46, 66, 46, 66, 5, 2,		78, 293, 309, 293, 309, 6, 2,		90, 279, 287, 279, 287, 7, 1,		114, 237, 253, 237, 253, 8, 2		
117, 46, 66, 46, 66, 1, 2,		153, 62, 66, 62, 66, 2, 1,		110, 119, 144, 119, 144, 3, 2,		110, 119, 144, 119, 144, 4, 2,		1, 66, 84, 66, 80, 5, 2,		29, 309, 330, 309, 330, 6, 2,		29, 309, 330, 309, 330, 7, 2,		36, 253, 279, 253, 279, 8, 2		
3, 66, 69, 66, 69, 1, 1,		1, 66, 84, 66, 80, 2, 2,		49, 168, 173, 168, 173, 3, 2,		14, 144, 149, 144, 149, 4, 2,		79, 80, 124, 80, 124, 5, 2,		23, 330, 356, 330, 356, 6, 2,		34, 356, 370, 356, 370, 7, 2,		26, 279, 293, 279, 293, 8, 2		
124, 69, 114, 69, 114, 1, 1,		79, 80, 124, 80, 124, 2, 2,		123, 173, 193, 173, 178, 3, 2,		20, 149, 178, 149, 168, 4, 2,		70, 133, 138, 133, 138, 5, 1,		34, 356, 370, 356, 370, 6, 2,		22, 370, 375, 370, 375, 7, 2,		78, 293, 309, 293, 309, 8, 2		
120, 114, 119, 115, 119, 1, 2,		146, 124, 168, 124, 168, 2, 2,		17, 178, 228, 178, 228, 3, 2,		17, 178, 228, 178, 193, 4, 2,		154, 138, 142, 138, 142, 5, 1,		22, 370, 375, 370, 375, 6, 2,		12, 395, 397, 395, 397, 7, 2,		23, 330, 356, 330, 356, 8, 2		
