Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
20, 0, 29, 0, 2, 1, 2,		20, 0, 29, 0, 29, 2, 2,		27, 0, 2, 0, 2, 3, 2,		27, 0, 2, 0, 2, 4, 2,		28, 2, 21, 2, 21, 5, 2,		41, 0, 26, 0, 26, 6, 2,		41, 0, 26, 0, 26, 7, 2,		29, 26, 47, 26, 47, 8, 2		
60, 2, 4, 2, 4, 1, 1,		82, 4, 42, 29, 42, 2, 1,		28, 2, 21, 2, 21, 3, 2,		33, 21, 47, 21, 47, 4, 2,		33, 21, 47, 21, 47, 5, 2,		29, 26, 47, 26, 47, 6, 2,		34, 47, 61, 47, 61, 7, 2,		34, 47, 61, 47, 61, 8, 2		
82, 4, 42, 4, 21, 1, 1,		81, 42, 49, 42, 47, 2, 1,		82, 4, 42, 21, 29, 3, 1,		35, 29, 49, 47, 49, 4, 2,		38, 47, 52, 47, 49, 5, 2,		128, 82, 207, 82, 207, 6, 2,		113, 61, 82, 61, 82, 7, 2,		113, 61, 82, 61, 82, 8, 2		
20, 0, 29, 21, 29, 1, 2,		38, 47, 52, 47, 52, 2, 2,		35, 29, 49, 29, 49, 3, 2,		38, 47, 52, 49, 52, 4, 2,		49, 52, 57, 52, 54, 5, 2,		78, 207, 223, 207, 223, 6, 2,		78, 207, 223, 207, 223, 7, 2,		128, 82, 207, 82, 207, 8, 2		
35, 29, 49, 29, 47, 1, 2,		40, 49, 54, 52, 54, 2, 2,		40, 49, 54, 49, 52, 3, 2,		40, 49, 54, 52, 54, 4, 2,		56, 54, 84, 54, 57, 5, 2,		114, 249, 265, 249, 265, 6, 2,		102, 223, 249, 223, 249, 7, 2,		102, 223, 249, 223, 249, 8, 2		
81, 42, 49, 47, 49, 1, 1,		49, 52, 57, 54, 57, 2, 2,		49, 52, 57, 52, 54, 3, 2,		49, 52, 57, 54, 57, 4, 2,		124, 56, 101, 57, 62, 5, 1,		129, 265, 285, 265, 285, 6, 2,		114, 249, 265, 249, 265, 7, 2,		105, 249, 257, 249, 257, 8, 1		
112, 49, 56, 49, 56, 1, 1,		56, 54, 84, 57, 84, 2, 2,		56, 54, 84, 54, 57, 3, 2,		56, 54, 84, 57, 84, 4, 2,		91, 62, 67, 62, 67, 5, 2,		36, 304, 330, 304, 330, 6, 2,		129, 265, 285, 265, 285, 7, 2,		7, 285, 299, 285, 299, 8, 2		
77, 57, 62, 57, 62, 1, 2,		124, 56, 101, 84, 89, 2, 1,		77, 57, 62, 57, 62, 3, 2,		17, 82, 132, 84, 132, 4, 2,		93, 67, 72, 67, 72, 5, 2,		26, 364, 378, 364, 378, 6, 2,		7, 285, 299, 285, 299, 7, 2,		10, 299, 304, 299, 304, 8, 2		
124, 56, 101, 62, 84, 1, 1,		25, 89, 114, 89, 114, 2, 2,		91, 62, 67, 62, 67, 3, 2,		103, 132, 150, 132, 139, 4, 2,		43, 72, 82, 72, 82, 5, 2,		22, 378, 383, 378, 383, 6, 2,		10, 299, 304, 299, 304, 7, 2,		23, 338, 364, 338, 364, 8, 2		
52, 84, 89, 84, 89, 1, 2,		109, 114, 118, 114, 118, 2, 1,		93, 67, 72, 67, 72, 3, 2,		104, 139, 167, 139, 167, 4, 2,		17, 82, 132, 82, 132, 5, 2,		122, 645, 659, 645, 659, 6, 1,		36, 304, 330, 304, 330, 7, 2,		12, 584, 586, 584, 586, 8, 2		
124, 56, 101, 89, 101, 1, 1,		154, 119, 123, 119, 123, 2, 1,		43, 72, 82, 72, 82, 3, 2,		115, 167, 183, 167, 175, 4, 2,		104, 139, 167, 139, 167, 5, 2,		86, 674, 720, 674, 720, 6, 1,		90, 330, 338, 330, 338, 7, 1,		18, 624, 645, 624, 645, 8, 1		
25, 89, 114, 101, 114, 1, 2,		103, 132, 150, 132, 150, 2, 2,		52, 84, 89, 84, 89, 3, 2,		117, 175, 195, 175, 195, 4, 2,		117, 175, 195, 175, 195, 5, 2,		0, 0, 0, 0, 0, 0, 0,			23, 338, 364, 338, 364, 7, 2,		157, 720, 756, 720, 756, 8, 1		
57, 114, 139, 114, 139, 1, 2,		108, 150, 175, 150, 175, 2, 2,		133, 101, 103, 101, 103, 3, 1,		137, 195, 200, 195, 200, 4, 2,		137, 195, 200, 195, 200, 5, 2,		0, 0, 0, 0, 0, 0, 0,			26, 364, 378, 364, 378, 7, 2,		62, 756, 762, 756, 762, 8, 2		
130, 139, 149, 139, 149, 1, 1,		16, 183, 193, 183, 193, 2, 2,		70, 103, 108, 103, 108, 3, 1,		142, 200, 250, 200, 250, 4, 2,		142, 200, 250, 200, 250, 5, 2,		0, 0, 0, 0, 0, 0, 0,			22, 378, 383, 378, 383, 7, 2,		0, 763, 778, 763, 778, 8, 2		
115, 167, 183, 167, 183, 1, 2,		106, 194, 225, 194, 225, 2, 2,		153, 108, 112, 108, 112, 3, 1,		8, 257, 262, 257, 262, 4, 2,		1, 239, 257, 250, 257, 5, 2,		0, 0, 0, 0, 0, 0, 0,			12, 584, 586, 584, 586, 7, 2,		0, 0, 0, 0, 0, 0, 0			
3, 195, 198, 195, 198, 1, 1,		1, 239, 257, 239, 250, 2, 2,		57, 114, 139, 114, 139, 3, 2,		13, 262, 267, 262, 267, 4, 2,		8, 257, 262, 257, 262, 5, 2,		0, 0, 0, 0, 0, 0, 0,			32, 586, 593, 586, 593, 7, 1,		0, 0, 0, 0, 0, 0, 0			
97, 198, 200, 198, 200, 1, 1,		79, 250, 294, 250, 294, 2, 2,		103, 132, 150, 139, 150, 3, 2,		14, 267, 272, 267, 272, 4, 2,		14, 267, 272, 267, 272, 5, 2,		0, 0, 0, 0, 0, 0, 0,			107, 593, 595, 593, 595, 7, 1,		0, 0, 0, 0, 0, 0, 0			
150, 225, 230, 225, 230, 1, 2,		146, 294, 338, 294, 338, 2, 2,		108, 150, 175, 150, 175, 3, 2,		65, 272, 282, 272, 282, 4, 2,		65, 272, 282, 272, 282, 5, 2,		0, 0, 0, 0, 0, 0, 0,			155, 595, 606, 595, 606, 7, 1,		0, 0, 0, 0, 0, 0, 0			
144, 230, 239, 230, 239, 1, 2,		123, 332, 352, 338, 352, 2, 2,		115, 167, 183, 175, 183, 3, 2,		68, 282, 287, 282, 287, 4, 2,		135, 282, 284, 282, 284, 5, 1,		0, 0, 0, 0, 0, 0, 0,			84, 606, 624, 606, 624, 7, 1,		0, 0, 0, 0, 0, 0, 0			
74, 239, 240, 239, 250, 1, 1,		138, 348, 356, 352, 356, 2, 2,		16, 183, 193, 183, 193, 3, 2,		110, 302, 327, 302, 327, 4, 2,		73, 287, 302, 287, 302, 5, 2,		0, 0, 0, 0, 0, 0, 0,			156, 659, 674, 659, 674, 7, 1,		0, 0, 0, 0, 0, 0, 0			
79, 250, 294, 250, 294, 1, 2,		69, 352, 362, 356, 362, 2, 2,		106, 194, 225, 194, 225, 3, 2,		120, 327, 332, 327, 332, 4, 2,		120, 327, 332, 327, 332, 5, 2,		0, 0, 0, 0, 0, 0, 0,			62, 756, 762, 756, 762, 7, 2,		0, 0, 0, 0, 0, 0, 0			
146, 294, 338, 294, 332, 1, 2,		119, 356, 386, 362, 386, 2, 2,		150, 225, 230, 225, 230, 3, 2,		123, 332, 352, 332, 338, 4, 2,		88, 332, 339, 332, 338, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 763, 778, 763, 778, 7, 2,		0, 0, 0, 0, 0, 0, 0			
123, 332, 352, 332, 338, 1, 2,		55, 371, 391, 386, 391, 2, 2,		144, 230, 239, 230, 239, 3, 2,		151, 341, 346, 341, 346, 4, 1,		123, 332, 352, 338, 341, 5, 2,		0, 0, 0, 0, 0, 0, 0,			5, 778, 782, 778, 782, 7, 1,		0, 0, 0, 0, 0, 0, 0			
134, 338, 348, 338, 341, 1, 2,		121, 386, 446, 391, 446, 2, 2,		1, 239, 257, 239, 257, 3, 2,		138, 348, 356, 348, 352, 4, 2,		134, 338, 348, 341, 348, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
123, 332, 352, 341, 352, 1, 2,		48, 446, 455, 446, 455, 2, 2,		13, 262, 267, 262, 267, 3, 2,		69, 352, 362, 352, 356, 4, 2,		138, 348, 356, 348, 352, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
138, 348, 356, 352, 356, 1, 2,		72, 447, 462, 455, 462, 2, 2,		68, 282, 287, 282, 287, 3, 2,		139, 362, 364, 362, 364, 4, 1,		69, 352, 362, 352, 356, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
69, 352, 362, 356, 362, 1, 2,		143, 462, 484, 462, 484, 2, 2,		73, 287, 302, 287, 302, 3, 2,		63, 366, 371, 366, 369, 4, 2,		119, 356, 386, 356, 362, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
119, 356, 386, 362, 366, 1, 2,		92, 478, 488, 484, 488, 2, 2,		110, 302, 327, 302, 327, 3, 2,		95, 369, 371, 369, 371, 4, 1,		85, 362, 366, 362, 366, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
63, 366, 371, 366, 371, 1, 2,		149, 488, 510, 488, 497, 2, 2,		134, 338, 348, 338, 348, 3, 2,		55, 371, 391, 371, 386, 4, 2,		53, 366, 369, 366, 369, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
119, 356, 386, 371, 379, 1, 2,		31, 497, 505, 497, 505, 2, 1,		64, 348, 350, 348, 350, 3, 1,		15, 379, 394, 386, 391, 4, 1,		63, 366, 371, 369, 371, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
15, 379, 394, 379, 386, 1, 1,		59, 505, 517, 505, 517, 2, 2,		119, 356, 386, 356, 362, 3, 2,		148, 391, 411, 391, 411, 4, 2,		55, 371, 391, 371, 391, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
121, 386, 446, 386, 391, 1, 2,		75, 517, 519, 517, 519, 2, 1,		85, 362, 366, 362, 366, 3, 2,		116, 409, 417, 411, 417, 4, 1,		15, 379, 394, 391, 394, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
148, 391, 411, 391, 411, 1, 2,		141, 519, 554, 519, 554, 2, 1,		136, 371, 379, 371, 379, 3, 1,		39, 437, 447, 437, 447, 4, 2,		51, 394, 409, 394, 409, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
2, 411, 437, 411, 417, 1, 2,		126, 551, 566, 554, 566, 2, 2,		121, 386, 446, 386, 446, 3, 2,		48, 446, 455, 447, 455, 4, 2,		116, 409, 417, 409, 411, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
158, 417, 428, 417, 428, 1, 1,		76, 564, 586, 566, 586, 2, 2,		72, 447, 462, 447, 455, 3, 2,		72, 447, 462, 455, 462, 4, 2,		2, 411, 437, 411, 437, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
24, 428, 430, 428, 430, 1, 1,		61, 576, 591, 586, 591, 2, 2,		6, 455, 461, 455, 461, 3, 2,		143, 462, 484, 462, 484, 4, 2,		39, 437, 447, 437, 447, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
2, 411, 437, 430, 437, 1, 2,		101, 591, 597, 591, 597, 2, 2,		9, 461, 466, 461, 466, 3, 2,		92, 478, 488, 484, 488, 4, 2,		6, 455, 461, 455, 461, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
72, 447, 462, 447, 455, 1, 2,		100, 597, 598, 597, 857, 2, 1,		45, 470, 475, 470, 475, 3, 2,		125, 477, 497, 488, 497, 4, 1,		37, 466, 470, 466, 470, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
96, 455, 457, 455, 457, 1, 1,		0, 0, 0, 0, 0, 0, 0,			19, 475, 477, 475, 477, 3, 2,		149, 488, 510, 497, 505, 4, 2,		45, 470, 475, 470, 475, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
9, 461, 466, 461, 466, 1, 2,		0, 0, 0, 0, 0, 0, 0,			92, 478, 488, 478, 484, 3, 2,		98, 505, 507, 505, 507, 4, 1,		92, 478, 488, 478, 484, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
37, 466, 470, 466, 470, 1, 2,		0, 0, 0, 0, 0, 0, 0,			66, 484, 505, 484, 505, 3, 2,		30, 507, 513, 507, 513, 4, 1,		66, 484, 505, 484, 505, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
89, 470, 471, 470, 475, 1, 1,		0, 0, 0, 0, 0, 0, 0,			149, 488, 510, 505, 510, 3, 2,		152, 513, 517, 513, 517, 4, 1,		149, 488, 510, 505, 510, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
19, 475, 477, 475, 477, 1, 2,		0, 0, 0, 0, 0, 0, 0,			54, 510, 512, 510, 512, 3, 1,		132, 512, 524, 517, 524, 4, 2,		42, 510, 512, 510, 512, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
