Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
122, 0, 25, 0, 25, 1, 2,		14, 0, 36, 0, 36, 2, 2,		83, 0, 45, 0, 45, 3, 1,		122, 0, 25, 0, 25, 4, 2,		72, 25, 55, 25, 36, 5, 2,		10, 0, 16, 0, 16, 6, 1,		13, 0, 9, 0, 9, 7, 1,		39, 9, 20, 9, 20, 8, 2		
72, 25, 55, 25, 40, 1, 2,		72, 25, 55, 36, 55, 2, 2,		72, 25, 55, 45, 55, 3, 2,		195, 36, 44, 36, 40, 4, 1,		164, 36, 40, 36, 40, 5, 1,		111, 16, 28, 16, 28, 6, 1,		39, 9, 20, 9, 20, 7, 2,		123, 20, 30, 20, 30, 8, 2		
31, 40, 44, 40, 44, 1, 1,		104, 55, 90, 55, 90, 2, 2,		104, 55, 90, 55, 90, 3, 2,		90, 44, 46, 44, 46, 4, 2,		195, 36, 44, 40, 44, 5, 1,		59, 28, 36, 28, 30, 6, 1,		123, 20, 30, 20, 30, 7, 2,		59, 28, 36, 30, 36, 8, 1		
162, 45, 63, 45, 63, 1, 1,		182, 90, 100, 90, 100, 2, 1,		43, 82, 134, 90, 100, 3, 1,		41, 46, 158, 46, 158, 4, 2,		90, 44, 46, 44, 46, 5, 2,		11, 36, 39, 36, 39, 6, 2,		140, 30, 46, 30, 46, 7, 1,		11, 36, 39, 36, 39, 8, 2		
112, 63, 72, 63, 72, 1, 1,		43, 82, 134, 100, 134, 2, 1,		128, 100, 153, 100, 153, 3, 2,		196, 158, 186, 158, 186, 4, 4,		41, 46, 158, 46, 158, 5, 2,		153, 39, 49, 39, 49, 6, 1,		197, 49, 67, 49, 67, 7, 2,		86, 39, 44, 39, 44, 8, 1		
166, 72, 79, 72, 79, 1, 1,		73, 134, 156, 134, 156, 2, 1,		18, 153, 157, 153, 157, 3, 2,		100, 183, 205, 186, 205, 4, 1,		196, 158, 186, 158, 186, 5, 4,		197, 49, 67, 49, 57, 6, 2,		165, 67, 74, 67, 74, 7, 2,		133, 44, 57, 44, 57, 8, 1		
40, 79, 82, 79, 82, 1, 1,		96, 156, 183, 156, 158, 2, 1,		196, 158, 186, 158, 186, 3, 4,		145, 205, 232, 205, 214, 4, 1,		136, 186, 214, 186, 214, 5, 4,		161, 57, 73, 57, 73, 6, 1,		9, 73, 98, 74, 76, 7, 1,		197, 49, 67, 57, 67, 8, 2		
43, 82, 134, 82, 90, 1, 1,		196, 158, 186, 158, 186, 2, 4,		136, 186, 214, 186, 214, 3, 4,		89, 214, 287, 214, 287, 4, 4,		89, 214, 287, 214, 287, 5, 4,		165, 67, 74, 73, 76, 6, 2,		61, 76, 100, 76, 100, 7, 2,		165, 67, 74, 67, 73, 8, 2		
84, 90, 95, 90, 95, 1, 1,		136, 186, 214, 186, 214, 2, 4,		145, 205, 232, 214, 232, 3, 1,		135, 287, 319, 287, 319, 4, 4,		135, 287, 319, 287, 319, 5, 4,		9, 73, 98, 76, 98, 6, 1,		34, 98, 111, 100, 111, 7, 1,		9, 73, 98, 73, 76, 8, 1		
128, 100, 153, 100, 153, 1, 2,		89, 214, 287, 214, 287, 2, 4,		167, 232, 234, 232, 234, 3, 1,		193, 319, 350, 319, 350, 4, 4,		193, 319, 350, 319, 350, 5, 4,		34, 98, 111, 98, 100, 6, 1,		130, 111, 126, 111, 126, 7, 1,		61, 76, 100, 76, 100, 8, 2		
