Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
83, 0, 45, 0, 30, 1, 1,		14, 0, 36, 0, 36, 2, 2,		72, 0, 30, 0, 30, 3, 2,		72, 0, 30, 0, 30, 4, 2,		104, 30, 65, 30, 36, 5, 2,		13, 0, 9, 0, 9, 6, 1,		123, 0, 10, 0, 10, 7, 2,		123, 0, 10, 0, 10, 8, 2		
104, 30, 65, 30, 36, 1, 2,		104, 30, 65, 36, 65, 2, 2,		83, 0, 45, 30, 44, 3, 1,		31, 40, 44, 40, 44, 4, 1,		164, 36, 40, 36, 40, 5, 1,		39, 10, 21, 10, 21, 6, 2,		39, 10, 21, 10, 21, 7, 2,		140, 9, 25, 10, 25, 8, 1		
195, 36, 44, 36, 40, 1, 1,		73, 63, 85, 65, 85, 2, 1,		90, 44, 46, 44, 46, 3, 2,		41, 46, 158, 46, 158, 4, 2,		195, 36, 44, 40, 44, 5, 1,		10, 21, 37, 21, 25, 6, 1,		153, 21, 31, 21, 31, 7, 1,		10, 21, 37, 25, 37, 8, 1		
104, 30, 65, 40, 45, 1, 2,		122, 74, 99, 85, 99, 2, 2,		104, 30, 65, 46, 65, 3, 2,		96, 164, 191, 164, 186, 4, 1,		90, 44, 46, 44, 46, 5, 2,		11, 36, 39, 36, 39, 6, 2,		11, 36, 39, 36, 39, 7, 2,		86, 39, 44, 39, 44, 8, 1		
162, 45, 63, 45, 63, 1, 1,		128, 99, 152, 99, 102, 2, 2,		112, 65, 74, 65, 74, 3, 1,		136, 186, 214, 186, 214, 4, 4,		41, 46, 158, 46, 158, 5, 2,		28, 39, 74, 39, 74, 6, 2,		28, 39, 74, 39, 74, 7, 2,		9, 44, 69, 44, 69, 8, 1		
73, 63, 85, 63, 65, 1, 1,		100, 102, 124, 102, 124, 2, 1,		122, 74, 99, 74, 99, 3, 2,		89, 214, 287, 214, 287, 4, 4,		196, 158, 186, 158, 186, 5, 4,		178, 74, 99, 74, 99, 6, 2,		111, 69, 81, 74, 81, 7, 1,		111, 69, 81, 69, 74, 8, 1		
40, 65, 68, 65, 68, 1, 1,		5, 124, 164, 124, 158, 2, 1,		128, 99, 152, 99, 152, 3, 2,		43, 240, 292, 287, 292, 4, 1,		96, 164, 191, 186, 191, 5, 1,		161, 94, 110, 99, 110, 6, 1,		133, 81, 94, 81, 94, 7, 1,		178, 74, 99, 74, 99, 8, 2		
84, 68, 73, 68, 73, 1, 1,		196, 158, 186, 158, 186, 2, 4,		18, 152, 156, 152, 156, 3, 2,		176, 292, 304, 292, 304, 4, 1,		145, 211, 238, 211, 214, 5, 1,		59, 110, 118, 110, 118, 6, 1,		161, 94, 110, 94, 99, 7, 1,		174, 99, 124, 99, 124, 8, 2		
122, 74, 99, 74, 85, 1, 2,		136, 186, 214, 186, 214, 2, 4,		167, 156, 158, 156, 158, 3, 1,		125, 304, 328, 304, 319, 4, 1,		89, 214, 287, 214, 287, 5, 4,		197, 124, 142, 124, 142, 6, 2,		174, 99, 124, 99, 124, 7, 2,		197, 124, 142, 124, 142, 8, 2		
182, 85, 95, 85, 95, 1, 1,		89, 214, 287, 214, 287, 2, 4,		196, 158, 186, 158, 186, 3, 4,		193, 319, 350, 319, 350, 4, 4,		135, 287, 319, 287, 319, 5, 4,		165, 142, 149, 142, 149, 6, 2,		25, 124, 134, 124, 134, 7, 1,		130, 134, 149, 142, 149, 8, 1		
