Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
195, 0, 0, 0, 8, 1, 1,		164, 0, 0, 0, 4, 2, 1,		162, 0, 0, 0, 18, 3, 1,		14, 0, 0, 0, 36, 4, 2,		14, 0, 0, 0, 36, 5, 2,		140, 0, 0, 0, 16, 6, 1,		39, 0, 0, 0, 11, 7, 2,		39, 0, 0, 0, 11, 8, 2		
72, 0, 0, 8, 38, 1, 2,		31, 0, 0, 4, 8, 2, 1,		72, 0, 0, 36, 38, 3, 2,		122, 0, 0, 36, 38, 4, 2,		122, 0, 0, 36, 61, 5, 2,		13, 0, 0, 16, 20, 6, 1,		197, 0, 0, 16, 34, 7, 2,		13, 0, 0, 11, 16, 8, 1		
122, 0, 0, 38, 40, 1, 2,		72, 0, 0, 8, 18, 2, 2,		104, 0, 0, 38, 73, 3, 2,		104, 0, 0, 38, 40, 4, 2,		23, 0, 0, 61, 73, 5, 2,		9, 0, 0, 20, 34, 6, 1,		165, 0, 0, 34, 41, 7, 2,		197, 0, 0, 16, 34, 8, 2		
112, 0, 0, 40, 49, 1, 1,		73, 0, 0, 18, 40, 2, 1,		23, 0, 0, 73, 75, 3, 2,		122, 0, 0, 40, 61, 4, 2,		182, 832, 832, 73, 75, 5, 1,		165, 0, 0, 34, 41, 6, 2,		61, 0, 0, 43, 67, 7, 2,		9, 0, 0, 34, 45, 8, 1		
166, 0, 0, 49, 56, 1, 1,		104, 0, 0, 40, 73, 2, 2,		90, 0, 0, 75, 77, 3, 2,		23, 0, 0, 61, 94, 4, 2,		23, 0, 0, 75, 77, 5, 2,		61, 0, 0, 43, 67, 6, 2,		76, 0, 0, 70, 76, 7, 2,		111, 0, 0, 45, 57, 8, 1		
40, 0, 0, 56, 59, 1, 1,		132, 0, 0, 73, 75, 2, 1,		23, 0, 0, 77, 94, 3, 2,		83, 0, 0, 94, 127, 4, 1,		182, 832, 832, 77, 83, 5, 1,		11, 0, 0, 67, 70, 6, 2,		102, 0, 0, 76, 82, 7, 2,		153, 0, 0, 57, 67, 8, 1		
126, 0, 0, 59, 68, 1, 1,		182, 832, 832, 75, 77, 2, 1,		171, 0, 0, 94, 127, 3, 2,		172, 0, 0, 127, 152, 4, 2,		83, 0, 0, 83, 94, 5, 1,		86, 0, 0, 70, 75, 6, 1,		123, 0, 0, 82, 92, 7, 2,		11, 0, 0, 67, 70, 8, 2		
132, 0, 0, 68, 73, 1, 1,		41, 0, 0, 77, 189, 2, 2,		100, 0, 0, 128, 150, 3, 1,		21, 0, 0, 152, 177, 4, 2,		171, 0, 0, 94, 127, 5, 2,		10, 0, 0, 75, 91, 6, 1,		130, 0, 0, 92, 106, 7, 1,		76, 0, 0, 70, 76, 8, 2		
90, 0, 0, 75, 77, 1, 2,		179, 0, 0, 190, 199, 2, 1,		21, 0, 0, 152, 177, 3, 2,		18, 0, 0, 177, 181, 4, 2,		172, 0, 0, 127, 152, 5, 2,		139, 0, 0, 92, 121, 6, 2,		133, 0, 0, 106, 119, 7, 1,		102, 0, 0, 76, 82, 8, 2		
41, 0, 0, 77, 150, 1, 2,		44, 0, 0, 200, 217, 2, 1,		18, 0, 0, 177, 181, 3, 2,		167, 0, 0, 181, 183, 4, 1,		26, 0, 0, 183, 185, 5, 1,		180, 0, 0, 121, 133, 6, 2,		161, 0, 0, 119, 121, 7, 1,		123, 0, 0, 82, 92, 8, 2		
5, 0, 0, 150, 181, 1, 1,		136, 0, 0, 217, 245, 2, 4,		5, 0, 0, 181, 189, 3, 1,		37, 0, 0, 185, 189, 4, 2,		37, 0, 0, 185, 189, 5, 2,		28, 0, 0, 133, 168, 6, 2,		180, 0, 0, 121, 133, 7, 2,		139, 0, 0, 92, 121, 8, 2		
41, 0, 0, 181, 189, 1, 2,		89, 0, 0, 245, 318, 2, 4,		196, 0, 0, 189, 217, 3, 4,		196, 0, 0, 189, 217, 4, 4,		196, 0, 0, 189, 217, 5, 4,		91, 0, 0, 192, 218, 6, 2,		28, 0, 0, 133, 168, 7, 2,		161, 0, 0, 121, 135, 8, 1		
196, 0, 0, 189, 217, 1, 4,		135, 0, 0, 318, 350, 2, 4,		136, 0, 0, 217, 245, 3, 4,		136, 0, 0, 217, 245, 4, 4,		136, 0, 0, 217, 245, 5, 4,		178, 0, 0, 218, 243, 6, 2,		51, 0, 0, 168, 192, 7, 2,		59, 0, 0, 135, 143, 8, 1		
44, 0, 0, 217, 222, 1, 1,		176, 0, 0, 351, 363, 2, 1,		89, 0, 0, 245, 318, 3, 4,		149, 0, 0, 245, 252, 4, 1,		89, 0, 0, 245, 318, 5, 4,		78, 0, 0, 268, 272, 6, 2,		53, 0, 0, 192, 200, 7, 1,		34, 0, 0, 143, 156, 8, 1		
199, 0, 0, 222, 244, 1, 1,		125, 0, 0, 363, 381, 2, 1,		135, 0, 0, 318, 350, 3, 4,		135, 0, 0, 318, 350, 4, 4,		135, 0, 0, 318, 350, 5, 4,		8, 0, 0, 272, 288, 6, 1,		74, 0, 0, 200, 208, 7, 1,		109, 0, 0, 156, 158, 8, 1		
89, 0, 0, 245, 252, 1, 4,		38, 0, 0, 381, 413, 2, 4,		193, 0, 0, 350, 381, 3, 4,		193, 0, 0, 350, 381, 4, 4,		193, 0, 0, 350, 381, 5, 4,		105, 0, 0, 293, 365, 6, 1,		178, 0, 0, 218, 243, 7, 2,		51, 0, 0, 168, 192, 8, 2		
186, 4200731, 4200859, 252, 272, 1, 1,		99, 0, 0, 413, 425, 2, 4,		38, 0, 0, 381, 413, 3, 4,		38, 0, 0, 381, 413, 4, 4,		24, 0, 0, 387, 393, 5, 1,		27, 0, 0, 365, 383, 6, 2,		174, 0, 0, 243, 268, 7, 2,		91, 0, 0, 192, 218, 8, 2		
