Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
122, 0, 25, 0, 25, 1, 2,		14, 0, 36, 0, 36, 2, 2,		83, 0, 45, 0, 45, 3, 1,		122, 0, 25, 0, 25, 4, 2,		72, 25, 55, 25, 36, 5, 2,		13, 0, 9, 0, 9, 6, 1,		39, 0, 11, 0, 11, 7, 2,		39, 0, 11, 0, 11, 8, 2		
72, 25, 55, 25, 36, 1, 2,		72, 25, 55, 36, 55, 2, 2,		72, 25, 55, 45, 55, 3, 2,		31, 40, 44, 40, 44, 4, 1,		164, 36, 40, 36, 40, 5, 1,		140, 9, 25, 9, 11, 6, 1,		123, 11, 21, 11, 21, 7, 2,		140, 9, 25, 11, 25, 8, 1		
195, 36, 44, 36, 40, 1, 1,		104, 55, 90, 55, 90, 2, 2,		104, 55, 90, 55, 90, 3, 2,		90, 44, 46, 44, 46, 4, 2,		195, 36, 44, 40, 44, 5, 1,		123, 11, 21, 11, 21, 6, 2,		111, 21, 33, 21, 25, 7, 1,		111, 21, 33, 25, 33, 8, 1		
72, 25, 55, 40, 45, 1, 2,		43, 82, 134, 90, 100, 2, 1,		84, 90, 95, 90, 95, 3, 1,		41, 46, 158, 46, 158, 4, 2,		90, 44, 46, 44, 46, 5, 2,		153, 21, 31, 21, 31, 6, 1,		11, 36, 39, 36, 39, 7, 2,		86, 39, 44, 39, 44, 8, 1		
162, 45, 63, 45, 63, 1, 1,		128, 100, 153, 100, 153, 2, 2,		128, 100, 153, 100, 153, 3, 2,		196, 158, 186, 158, 186, 4, 4,		41, 46, 158, 46, 158, 5, 2,		11, 36, 39, 36, 39, 6, 2,		197, 39, 57, 39, 57, 7, 2,		197, 39, 57, 44, 57, 8, 2		
112, 63, 72, 63, 72, 1, 1,		18, 153, 157, 153, 157, 2, 2,		18, 153, 157, 153, 157, 3, 2,		136, 186, 214, 186, 214, 4, 4,		196, 158, 186, 158, 186, 5, 4,		197, 39, 57, 39, 44, 6, 2,		165, 57, 64, 57, 64, 7, 2,		9, 44, 69, 57, 64, 8, 1		
166, 72, 79, 72, 79, 1, 1,		196, 158, 186, 158, 186, 2, 4,		100, 183, 205, 183, 186, 3, 1,		145, 205, 232, 214, 232, 4, 1,		136, 186, 214, 186, 214, 5, 4,		9, 44, 69, 44, 57, 6, 1,		9, 44, 69, 64, 66, 7, 1,		9, 44, 69, 66, 69, 8, 1		
40, 79, 82, 79, 82, 1, 1,		100, 183, 205, 186, 205, 2, 1,		136, 186, 214, 186, 214, 3, 4,		167, 232, 234, 232, 234, 4, 1,		89, 214, 287, 214, 287, 5, 4,		165, 57, 64, 57, 64, 6, 2,		61, 66, 90, 66, 90, 7, 2,		130, 69, 84, 69, 84, 8, 1		
43, 82, 134, 82, 90, 1, 1,		145, 205, 232, 205, 214, 2, 1,		89, 214, 287, 214, 287, 3, 4,		149, 243, 251, 243, 251, 4, 1,		5, 251, 291, 287, 291, 5, 1,		61, 66, 90, 66, 90, 6, 2,		59, 84, 92, 90, 92, 7, 1,		59, 84, 92, 84, 90, 8, 1		
182, 90, 100, 90, 100, 1, 1,		89, 214, 287, 214, 287, 2, 4,		135, 287, 319, 287, 319, 3, 4,		5, 251, 291, 251, 287, 4, 1,		26, 291, 293, 291, 293, 5, 1,		139, 90, 119, 90, 119, 6, 2,		10, 92, 108, 92, 108, 7, 1,		139, 90, 119, 90, 119, 8, 2		
43, 82, 134, 100, 134, 1, 1,		135, 287, 319, 287, 319, 2, 4,		193, 319, 350, 319, 350, 3, 4,		135, 287, 319, 287, 319, 4, 4,		193, 319, 350, 319, 350, 5, 4,		133, 108, 121, 119, 121, 6, 1,		133, 108, 121, 108, 119, 7, 1,		28, 119, 154, 119, 154, 8, 2		
73, 134, 156, 134, 156, 1, 1,		193, 319, 350, 319, 350, 2, 4,		23, 350, 383, 350, 383, 3, 2,		193, 319, 350, 319, 350, 4, 4,		0, 350, 396, 350, 396, 5, 2,		161, 121, 137, 121, 137, 6, 1,		28, 119, 154, 119, 154, 7, 2,		102, 186, 192, 186, 192, 8, 2		
96, 156, 183, 156, 183, 1, 1,		23, 350, 383, 350, 383, 2, 2,		75, 383, 389, 383, 389, 3, 2,		0, 350, 396, 350, 396, 4, 2,		38, 396, 428, 396, 428, 5, 4,		34, 137, 150, 137, 150, 6, 1,		76, 154, 160, 154, 160, 7, 2,		178, 192, 217, 192, 217, 8, 2		
196, 158, 186, 183, 186, 1, 4,		75, 383, 389, 383, 389, 2, 2,		2, 389, 395, 389, 395, 3, 2,		38, 396, 428, 396, 428, 4, 4,		99, 428, 440, 428, 440, 5, 4,		109, 150, 152, 150, 152, 6, 1,		91, 160, 186, 160, 186, 7, 2,		88, 242, 273, 242, 273, 8, 2		
136, 186, 214, 186, 214, 1, 4,		132, 388, 395, 389, 395, 2, 1,		38, 396, 428, 396, 428, 3, 4,		99, 428, 440, 428, 440, 4, 4,		138, 440, 457, 440, 457, 5, 2,		76, 154, 160, 154, 160, 6, 2,		102, 186, 192, 186, 192, 7, 2,		180, 273, 285, 273, 285, 8, 2		
89, 214, 287, 214, 234, 1, 4,		38, 396, 428, 396, 428, 2, 4,		99, 428, 440, 428, 440, 3, 4,		138, 440, 457, 440, 457, 4, 2,		202, 457, 479, 458, 473, 5, 2,		91, 160, 186, 160, 186, 6, 2,		42, 186, 196, 192, 196, 7, 1,		53, 309, 317, 309, 317, 8, 1		
179, 234, 243, 234, 243, 1, 1,		30, 428, 432, 428, 432, 2, 1,		171, 440, 473, 440, 473, 3, 2,		171, 440, 473, 457, 473, 4, 2,		172, 473, 498, 473, 498, 5, 2,		42, 186, 196, 186, 192, 6, 1,		174, 217, 242, 217, 242, 7, 2,		16, 309, 330, 317, 330, 8, 2		
89, 214, 287, 243, 287, 1, 4,		150, 432, 436, 432, 436, 2, 1,		202, 457, 479, 473, 479, 3, 2,		172, 473, 498, 473, 498, 4, 2,		47, 490, 510, 498, 510, 5, 2,		178, 192, 217, 192, 217, 6, 2,		88, 242, 273, 242, 273, 7, 2,		115, 330, 334, 330, 334, 8, 2		
135, 287, 319, 287, 293, 1, 4,		93, 440, 450, 440, 450, 2, 1,		44, 479, 490, 479, 490, 3, 2,		95, 510, 635, 510, 635, 4, 2,		95, 510, 635, 510, 635, 5, 2,		174, 217, 242, 217, 242, 6, 2,		134, 273, 278, 273, 278, 7, 1,		173, 334, 358, 334, 358, 8, 2		
176, 293, 305, 293, 305, 1, 1,		191, 450, 458, 450, 457, 2, 1,		45, 458, 498, 490, 498, 3, 1,		50, 627, 643, 635, 643, 4, 1,		142, 644, 662, 644, 662, 5, 2,		25, 242, 252, 242, 252, 6, 1,		51, 285, 309, 285, 309, 7, 2,		105, 330, 402, 358, 364, 8, 1		
186, 305, 325, 305, 325, 1, 1,		202, 457, 479, 457, 479, 2, 2,		47, 490, 510, 498, 510, 3, 2,		142, 644, 662, 644, 662, 4, 2,		143, 662, 687, 662, 687, 5, 2,		180, 273, 285, 273, 285, 6, 2,		16, 309, 330, 309, 317, 7, 2,		27, 364, 382, 364, 382, 8, 2		
125, 325, 349, 325, 349, 1, 1,		45, 458, 498, 479, 490, 2, 1,		185, 498, 578, 510, 578, 3, 1,		143, 662, 687, 662, 687, 4, 2,		203, 687, 698, 687, 698, 5, 2,		51, 285, 309, 285, 309, 6, 2,		74, 317, 325, 317, 325, 7, 1,		137, 382, 418, 382, 402, 8, 1		
24, 349, 355, 349, 355, 1, 1,		47, 490, 510, 490, 498, 2, 2,		117, 554, 582, 578, 582, 3, 2,		203, 687, 698, 687, 698, 4, 2,		92, 698, 716, 698, 716, 5, 2,		16, 309, 330, 309, 330, 6, 2,		115, 330, 334, 330, 334, 7, 2,		1, 402, 414, 402, 414, 8, 1		
71, 357, 371, 357, 371, 1, 1,		185, 498, 578, 498, 510, 2, 1,		170, 582, 610, 582, 610, 3, 2,		92, 698, 716, 698, 716, 4, 2,		175, 716, 718, 716, 718, 5, 2,		105, 330, 402, 330, 334, 6, 1,		105, 330, 402, 334, 358, 7, 1,		116, 414, 475, 414, 418, 8, 2		
29, 371, 379, 371, 379, 1, 1,		60, 509, 519, 510, 519, 2, 2,		119, 610, 623, 610, 623, 3, 2,		94, 687, 747, 716, 747, 4, 1,		129, 718, 725, 718, 725, 5, 1,		173, 334, 358, 334, 358, 6, 2,		68, 358, 364, 358, 364, 7, 1,		177, 418, 426, 418, 426, 8, 1		
126, 379, 388, 379, 388, 1, 1,		12, 519, 523, 519, 523, 2, 1,		120, 623, 627, 623, 627, 3, 2,		183, 756, 760, 756, 760, 4, 1,		159, 725, 727, 725, 727, 5, 1,		27, 364, 382, 364, 382, 6, 2,		105, 330, 402, 364, 402, 7, 1,		58, 475, 477, 475, 477, 8, 2		
2, 389, 395, 389, 395, 1, 2,		20, 523, 529, 523, 529, 2, 1,		65, 627, 631, 627, 630, 3, 1,		85, 773, 775, 773, 775, 4, 2,		15, 728, 731, 728, 731, 5, 2,		69, 382, 398, 382, 398, 6, 1,		137, 382, 418, 402, 418, 7, 1,		17, 477, 483, 477, 483, 8, 2		
127, 396, 400, 396, 400, 1, 1,		21, 529, 554, 529, 554, 2, 2,		154, 631, 635, 631, 635, 3, 2,		152, 775, 778, 775, 778, 4, 2,		114, 731, 734, 731, 734, 5, 2,		116, 414, 475, 414, 475, 6, 2,		116, 414, 475, 418, 475, 7, 2,		151, 483, 503, 483, 503, 8, 2		
63, 400, 404, 400, 404, 1, 1,		117, 554, 582, 554, 582, 2, 2,		144, 644, 784, 644, 784, 3, 2,		3, 778, 780, 778, 780, 4, 2,		103, 734, 738, 734, 738, 5, 1,		35, 477, 479, 477, 479, 6, 1,		58, 475, 477, 475, 477, 7, 2,		78, 509, 513, 509, 513, 8, 2		
113, 404, 428, 404, 428, 1, 1,		170, 582, 610, 582, 606, 2, 2,		82, 780, 790, 784, 790, 3, 1,		82, 780, 790, 780, 783, 4, 1,		163, 738, 741, 738, 741, 5, 1,		131, 479, 485, 479, 485, 6, 1,		17, 477, 483, 477, 483, 7, 2,		201, 513, 524, 513, 524, 8, 2		
99, 428, 440, 428, 440, 1, 4,		181, 606, 630, 606, 627, 2, 1,		37, 788, 792, 790, 792, 3, 2,		157, 783, 793, 783, 793, 4, 1,		141, 747, 756, 747, 756, 5, 1,		62, 485, 489, 485, 489, 6, 1,		151, 483, 503, 483, 503, 7, 2,		46, 524, 526, 524, 526, 8, 1		
171, 440, 473, 440, 457, 1, 2,		50, 627, 643, 627, 630, 2, 1,		187, 793, 804, 793, 804, 3, 2,		187, 793, 804, 793, 804, 4, 2,		66, 760, 764, 760, 764, 5, 1,		201, 513, 524, 513, 524, 6, 2,		78, 509, 513, 509, 513, 7, 2,		121, 526, 528, 526, 528, 8, 1		
45, 458, 498, 458, 479, 1, 1,		154, 631, 635, 631, 635, 2, 2,		0, 0, 0, 0, 0, 0, 0,			101, 804, 813, 804, 813, 4, 1,		4, 770, 773, 770, 773, 5, 1,		190, 529, 545, 529, 545, 6, 2,		8, 513, 529, 513, 529, 7, 1,		190, 529, 545, 529, 545, 8, 2		
44, 479, 490, 479, 490, 1, 2,		108, 635, 644, 635, 644, 2, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			81, 773, 783, 773, 783, 5, 1,		22, 545, 553, 545, 553, 6, 2,		70, 528, 538, 529, 538, 7, 1,		55, 545, 553, 545, 553, 8, 1		
