Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
14, 0, 36, 0, 36, 1, 2,		14, 0, 36, 0, 36, 2, 2,		72, 0, 30, 0, 30, 3, 2,		72, 0, 30, 0, 30, 4, 2,		43, 0, 52, 0, 52, 5, 1,		13, 0, 9, 0, 9, 6, 1,		140, 0, 16, 0, 16, 7, 1,		153, 0, 10, 0, 10, 8, 1		
122, 36, 61, 36, 61, 1, 2,		122, 36, 61, 36, 61, 2, 2,		104, 30, 65, 30, 65, 3, 2,		104, 30, 65, 30, 65, 4, 2,		83, 52, 97, 52, 86, 5, 1,		10, 9, 25, 9, 16, 6, 1,		10, 9, 25, 16, 25, 7, 1,		10, 9, 25, 10, 16, 8, 1		
164, 61, 65, 61, 65, 1, 1,		162, 61, 79, 61, 79, 2, 1,		182, 65, 75, 65, 75, 3, 1,		112, 65, 74, 65, 74, 4, 1,		90, 86, 88, 86, 88, 5, 2,		197, 16, 34, 16, 34, 6, 2,		133, 25, 38, 25, 34, 7, 1,		197, 16, 34, 16, 34, 8, 2		
195, 65, 73, 65, 73, 1, 1,		18, 81, 85, 81, 85, 2, 2,		128, 75, 128, 79, 81, 3, 2,		128, 75, 128, 75, 128, 4, 2,		83, 52, 97, 88, 97, 5, 1,		165, 34, 41, 34, 41, 6, 2,		165, 34, 41, 34, 41, 7, 2,		133, 25, 38, 34, 38, 8, 1		
128, 75, 128, 75, 79, 1, 2,		128, 75, 128, 86, 88, 2, 2,		18, 81, 85, 81, 85, 3, 2,		5, 97, 137, 128, 137, 4, 1,		41, 88, 200, 97, 200, 5, 2,		111, 38, 50, 41, 43, 6, 1,		61, 43, 67, 43, 67, 7, 2,		111, 38, 50, 38, 41, 8, 1		
166, 74, 81, 79, 81, 1, 1,		41, 88, 200, 88, 97, 2, 2,		90, 86, 88, 86, 88, 3, 2,		100, 159, 181, 159, 174, 4, 1,		186, 191, 211, 200, 211, 5, 1,		61, 43, 67, 43, 67, 6, 2,		39, 67, 78, 67, 78, 7, 2,		111, 38, 50, 43, 50, 8, 1		
128, 75, 128, 81, 86, 1, 2,		5, 97, 137, 97, 128, 2, 1,		41, 88, 200, 88, 128, 3, 2,		179, 183, 192, 183, 191, 4, 1,		113, 211, 235, 211, 228, 5, 1,		59, 66, 74, 67, 74, 6, 1,		123, 81, 91, 81, 91, 7, 2,		161, 50, 66, 50, 66, 8, 1		
83, 52, 97, 86, 88, 1, 1,		0, 128, 174, 128, 174, 2, 2,		0, 128, 174, 128, 174, 3, 2,		196, 200, 228, 200, 228, 4, 4,		136, 228, 256, 228, 256, 5, 4,		11, 78, 81, 78, 81, 6, 2,		9, 86, 111, 91, 111, 7, 1,		39, 67, 78, 67, 78, 8, 2		
128, 75, 128, 88, 128, 1, 2,		100, 159, 181, 174, 181, 2, 1,		138, 174, 191, 174, 191, 3, 2,		136, 228, 256, 228, 256, 4, 4,		47, 256, 276, 256, 276, 5, 2,		123, 81, 91, 81, 86, 6, 2,		130, 111, 126, 111, 120, 7, 1,		11, 78, 81, 78, 81, 8, 2		
41, 88, 200, 128, 137, 1, 2,		138, 174, 191, 181, 191, 2, 2,		186, 191, 211, 192, 200, 3, 1,		23, 256, 289, 256, 289, 4, 2,		44, 261, 283, 276, 283, 5, 1,		9, 86, 111, 86, 91, 6, 1,		28, 120, 155, 120, 155, 7, 2,		86, 81, 86, 81, 86, 8, 1		
73, 137, 159, 137, 159, 1, 1,		127, 191, 195, 192, 195, 2, 1,		196, 200, 228, 200, 228, 3, 4,		89, 289, 362, 289, 362, 4, 4,		2, 282, 288, 283, 288, 5, 2,		139, 91, 120, 91, 120, 6, 2,		174, 180, 205, 180, 205, 7, 2,		123, 81, 91, 86, 91, 8, 2		
41, 88, 200, 159, 174, 1, 2,		63, 195, 199, 195, 199, 2, 1,		136, 228, 256, 228, 256, 3, 4,		135, 362, 394, 362, 394, 4, 4,		89, 289, 362, 289, 362, 5, 4,		130, 111, 126, 120, 126, 6, 1,		25, 205, 215, 205, 211, 7, 1,		139, 91, 120, 91, 120, 8, 2		
138, 174, 191, 174, 181, 1, 2,		196, 200, 228, 200, 228, 2, 4,		23, 256, 289, 256, 289, 3, 2,		60, 394, 404, 394, 404, 4, 2,		181, 351, 375, 362, 375, 5, 1,		34, 126, 139, 126, 139, 6, 1,		102, 211, 217, 211, 217, 7, 2,		28, 120, 155, 120, 155, 8, 2		
167, 181, 183, 181, 183, 1, 1,		136, 228, 256, 228, 256, 2, 4,		199, 283, 305, 289, 305, 3, 1,		92, 404, 422, 404, 422, 4, 2,		96, 375, 402, 375, 394, 5, 1,		109, 139, 141, 139, 141, 6, 1,		51, 229, 253, 229, 253, 7, 2,		178, 155, 180, 155, 180, 8, 2		
41, 88, 200, 183, 191, 1, 2,		47, 256, 276, 256, 276, 2, 2,		125, 305, 329, 305, 329, 3, 1,		154, 422, 426, 422, 426, 4, 2,		171, 394, 427, 394, 427, 5, 2,		178, 155, 180, 155, 180, 6, 2,		91, 253, 279, 253, 279, 7, 2,		76, 205, 211, 205, 211, 8, 2		
149, 192, 200, 192, 199, 1, 1,		75, 276, 282, 276, 282, 2, 2,		24, 329, 335, 329, 335, 3, 1,		193, 427, 458, 427, 458, 4, 4,		169, 414, 442, 427, 442, 5, 1,		174, 180, 205, 180, 205, 6, 2,		42, 279, 289, 279, 289, 7, 1,		102, 211, 217, 211, 217, 8, 2		
196, 200, 228, 200, 228, 1, 4,		199, 283, 305, 283, 289, 2, 1,		71, 337, 351, 337, 351, 3, 1,		38, 458, 490, 458, 490, 4, 4,		145, 442, 469, 442, 458, 5, 1,		76, 205, 211, 205, 211, 6, 2,		115, 300, 304, 300, 304, 7, 2,		180, 217, 229, 217, 229, 8, 2		
113, 211, 235, 228, 235, 1, 1,		89, 289, 362, 289, 362, 2, 4,		181, 351, 375, 351, 362, 3, 1,		99, 490, 502, 490, 502, 4, 4,		38, 458, 490, 458, 490, 5, 4,		25, 205, 215, 211, 215, 6, 1,		78, 305, 309, 305, 309, 7, 2,		91, 253, 279, 253, 279, 8, 2		
26, 235, 237, 235, 237, 1, 1,		135, 362, 394, 362, 394, 2, 4,		135, 362, 394, 362, 394, 3, 4,		95, 502, 627, 502, 627, 4, 2,		99, 490, 502, 490, 502, 5, 4,		180, 217, 229, 217, 229, 6, 2,		105, 300, 372, 309, 333, 7, 1,		16, 279, 300, 279, 300, 8, 2		
176, 237, 249, 237, 249, 1, 1,		60, 394, 404, 394, 404, 2, 2,		171, 394, 427, 394, 427, 3, 2,		170, 611, 639, 627, 639, 4, 2,		172, 502, 527, 502, 527, 5, 2,		51, 229, 253, 229, 253, 6, 2,		68, 333, 339, 333, 339, 7, 1,		105, 300, 372, 300, 304, 8, 1		
40, 249, 252, 249, 252, 1, 1,		92, 404, 422, 404, 422, 2, 2,		193, 427, 458, 427, 458, 3, 4,		120, 639, 643, 639, 643, 4, 2,		21, 527, 552, 527, 552, 5, 2,		53, 253, 261, 253, 261, 6, 1,		27, 339, 357, 339, 357, 7, 2,		78, 305, 309, 305, 309, 8, 2		
31, 252, 256, 252, 256, 1, 1,		169, 414, 442, 422, 427, 2, 1,		38, 458, 490, 458, 490, 3, 4,		143, 643, 668, 643, 668, 4, 2,		117, 552, 580, 552, 580, 5, 2,		74, 261, 269, 261, 269, 6, 1,		116, 357, 418, 357, 418, 7, 2,		173, 309, 333, 309, 333, 8, 2		
150, 256, 260, 256, 260, 1, 1,		193, 427, 458, 427, 458, 2, 4,		99, 490, 502, 490, 502, 3, 4,		191, 668, 676, 668, 676, 4, 1,		142, 580, 598, 580, 598, 5, 2,		16, 279, 300, 279, 300, 6, 2,		131, 418, 424, 418, 424, 7, 1,		105, 300, 372, 339, 357, 8, 1		
44, 261, 283, 261, 276, 1, 1,		145, 442, 469, 458, 469, 2, 1,		95, 502, 627, 502, 627, 3, 2,		156, 676, 680, 676, 680, 4, 1,		119, 598, 611, 598, 611, 5, 2,		115, 300, 304, 300, 304, 6, 2,		177, 424, 432, 424, 432, 7, 1,		116, 357, 418, 357, 418, 8, 2		
75, 276, 282, 276, 282, 1, 2,		29, 469, 477, 469, 477, 2, 1,		170, 611, 639, 627, 632, 3, 2,		65, 678, 682, 680, 682, 4, 1,		170, 611, 639, 611, 627, 5, 2,		105, 300, 372, 304, 309, 6, 1,		58, 434, 436, 434, 436, 7, 2,		190, 418, 434, 418, 434, 8, 2		
2, 282, 288, 282, 288, 1, 2,		30, 477, 481, 477, 481, 2, 1,		108, 632, 668, 632, 668, 3, 1,		168, 680, 695, 682, 695, 4, 1,		144, 627, 767, 627, 767, 5, 2,		173, 309, 333, 309, 333, 6, 2,		88, 436, 467, 436, 456, 7, 2,		58, 434, 436, 434, 436, 8, 2		
