Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
31, 0, 4, 0, 4, 1, 1,		162, 0, 18, 0, 18, 2, 1,		14, 0, 36, 0, 36, 3, 2,		14, 0, 36, 0, 36, 4, 2,		73, 18, 40, 18, 40, 5, 1,		140, 0, 16, 0, 16, 6, 1,		39, 0, 11, 0, 11, 7, 2,		39, 0, 11, 0, 11, 8, 2		
72, 4, 34, 4, 34, 1, 2,		72, 4, 34, 18, 34, 2, 2,		104, 34, 69, 36, 40, 3, 2,		122, 36, 61, 36, 61, 4, 2,		104, 34, 69, 40, 69, 5, 2,		13, 11, 20, 16, 20, 6, 1,		197, 16, 34, 16, 34, 7, 2,		13, 11, 20, 11, 16, 8, 1		
104, 34, 69, 34, 36, 1, 2,		104, 34, 69, 34, 69, 2, 2,		122, 36, 61, 40, 61, 3, 2,		23, 61, 94, 61, 69, 4, 2,		23, 61, 94, 69, 94, 5, 2,		9, 20, 45, 20, 34, 6, 1,		165, 34, 41, 34, 41, 7, 2,		197, 16, 34, 16, 34, 8, 2		
122, 36, 61, 36, 40, 1, 2,		182, 69, 79, 69, 75, 2, 1,		23, 61, 94, 61, 94, 3, 2,		18, 69, 73, 69, 73, 4, 2,		171, 94, 127, 94, 127, 5, 2,		165, 34, 41, 34, 41, 6, 2,		61, 43, 67, 43, 67, 7, 2,		9, 20, 45, 34, 45, 8, 1		
112, 40, 49, 40, 49, 1, 1,		90, 75, 77, 75, 77, 2, 2,		83, 79, 124, 94, 124, 3, 1,		167, 73, 75, 73, 75, 4, 1,		5, 146, 186, 146, 152, 5, 1,		61, 43, 67, 43, 67, 6, 2,		76, 70, 76, 70, 76, 7, 2,		111, 45, 57, 45, 57, 8, 1		
195, 49, 57, 49, 57, 1, 1,		182, 69, 79, 77, 79, 2, 1,		100, 124, 146, 124, 127, 3, 1,		41, 77, 189, 77, 189, 4, 2,		21, 152, 177, 152, 177, 5, 2,		11, 67, 70, 67, 70, 6, 2,		102, 76, 82, 76, 82, 7, 2,		153, 57, 67, 57, 67, 8, 1		
166, 57, 64, 57, 64, 1, 1,		83, 79, 124, 79, 94, 2, 1,		172, 127, 152, 127, 152, 3, 2,		196, 189, 217, 189, 217, 4, 4,		5, 146, 186, 177, 186, 5, 1,		86, 70, 75, 70, 75, 6, 1,		123, 82, 92, 82, 92, 7, 2,		11, 67, 70, 67, 70, 8, 2		
40, 64, 67, 64, 67, 1, 1,		171, 94, 127, 94, 127, 2, 2,		21, 152, 177, 152, 177, 3, 2,		44, 200, 222, 217, 222, 4, 1,		196, 189, 217, 189, 217, 5, 4,		10, 75, 91, 75, 91, 6, 1,		139, 92, 121, 92, 121, 7, 2,		76, 70, 76, 70, 76, 8, 2		
18, 69, 73, 69, 73, 1, 2,		172, 127, 152, 127, 152, 2, 2,		126, 177, 186, 177, 186, 3, 1,		199, 222, 244, 222, 244, 4, 1,		136, 217, 245, 217, 245, 5, 4,		139, 92, 121, 92, 121, 6, 2,		59, 120, 128, 121, 128, 7, 1,		102, 76, 82, 76, 82, 8, 2		
182, 69, 79, 75, 77, 1, 1,		5, 146, 186, 152, 177, 2, 1,		26, 186, 188, 186, 188, 3, 1,		89, 245, 318, 245, 318, 4, 4,		89, 245, 318, 245, 318, 5, 4,		180, 121, 133, 121, 133, 6, 2,		130, 128, 143, 128, 133, 7, 1,		123, 82, 92, 82, 92, 8, 2		
41, 77, 189, 77, 127, 1, 2,		179, 177, 186, 177, 186, 2, 1,		196, 189, 217, 189, 217, 3, 4,		135, 318, 350, 318, 350, 4, 4,		135, 318, 350, 318, 350, 5, 4,		130, 128, 143, 133, 143, 6, 1,		28, 133, 168, 133, 168, 7, 2,		133, 91, 104, 92, 104, 8, 1		
100, 124, 146, 127, 146, 1, 1,		196, 189, 217, 189, 217, 2, 4,		136, 217, 245, 217, 245, 3, 4,		38, 381, 413, 381, 413, 4, 4,		193, 350, 381, 350, 381, 5, 4,		34, 143, 156, 143, 156, 6, 1,		51, 168, 192, 168, 192, 7, 2,		161, 104, 120, 104, 120, 8, 1		
41, 77, 189, 146, 189, 1, 2,		136, 217, 245, 217, 245, 2, 4,		96, 244, 271, 245, 271, 3, 1,		99, 413, 425, 413, 425, 4, 4,		38, 381, 413, 381, 413, 5, 4,		109, 156, 158, 156, 158, 6, 1,		53, 192, 200, 192, 200, 7, 1,		180, 121, 133, 121, 133, 8, 2		
176, 188, 200, 189, 200, 1, 1,		89, 245, 318, 245, 318, 2, 4,		145, 271, 298, 271, 298, 3, 1,		117, 425, 453, 425, 453, 4, 2,		99, 413, 425, 413, 425, 5, 4,		51, 168, 192, 168, 192, 6, 2,		74, 200, 208, 200, 208, 7, 1,		28, 133, 168, 133, 168, 8, 2		
44, 200, 222, 200, 217, 1, 1,		135, 318, 350, 318, 350, 2, 4,		135, 318, 350, 318, 350, 3, 4,		47, 453, 473, 453, 473, 4, 2,		117, 425, 453, 425, 453, 5, 2,		91, 192, 218, 192, 218, 6, 2,		178, 218, 243, 218, 243, 7, 2,		91, 192, 218, 192, 218, 8, 2		
136, 217, 245, 217, 245, 1, 4,		193, 350, 381, 350, 381, 2, 4,		193, 350, 381, 350, 381, 3, 4,		95, 473, 598, 473, 478, 4, 2,		47, 453, 473, 453, 473, 5, 2,		178, 218, 243, 218, 243, 6, 2,		88, 268, 299, 268, 299, 7, 2,		42, 218, 228, 218, 228, 8, 1		
89, 245, 318, 245, 298, 1, 4,		125, 377, 401, 381, 401, 2, 1,		38, 381, 413, 381, 413, 3, 4,		191, 475, 483, 478, 483, 4, 1,		95, 473, 598, 473, 598, 5, 2,		174, 243, 268, 243, 268, 6, 2,		16, 299, 320, 299, 320, 7, 2,		174, 243, 268, 243, 268, 8, 2		
43, 298, 350, 298, 350, 1, 1,		24, 401, 407, 401, 407, 2, 1,		99, 413, 425, 413, 425, 3, 4,		149, 483, 491, 483, 491, 4, 1,		144, 598, 738, 598, 738, 5, 2,		25, 268, 278, 268, 278, 6, 1,		105, 320, 392, 320, 324, 7, 1,		88, 268, 299, 268, 299, 8, 2		
132, 350, 357, 350, 357, 1, 1,		71, 409, 423, 409, 413, 2, 1,		128, 425, 478, 425, 478, 3, 2,		7, 491, 503, 491, 503, 4, 1,		2, 737, 743, 738, 743, 5, 2,		16, 299, 320, 299, 320, 6, 2,		115, 340, 344, 340, 344, 7, 2,		134, 299, 304, 299, 304, 8, 1		
186, 357, 377, 357, 377, 1, 1,		99, 413, 425, 413, 425, 2, 4,		0, 478, 524, 478, 524, 3, 2,		84, 503, 508, 503, 508, 4, 1,		138, 740, 757, 743, 757, 5, 2,		78, 320, 324, 320, 324, 6, 2,		190, 344, 360, 344, 360, 7, 2,		78, 320, 324, 320, 324, 8, 2		
125, 377, 401, 377, 381, 1, 1,		128, 425, 478, 425, 478, 2, 2,		127, 524, 528, 524, 528, 3, 1,		129, 508, 515, 508, 515, 4, 1,		181, 757, 781, 757, 768, 5, 1,		105, 320, 392, 324, 392, 6, 1,		55, 360, 368, 360, 368, 7, 1,		8, 324, 340, 324, 340, 8, 1		
38, 381, 413, 381, 413, 1, 4,		95, 473, 598, 478, 598, 2, 2,		185, 528, 608, 528, 552, 3, 1,		29, 515, 523, 515, 523, 4, 1,		187, 769, 780, 769, 780, 5, 2,		173, 392, 416, 392, 396, 6, 2,		48, 368, 382, 368, 382, 7, 1,		115, 340, 344, 340, 344, 8, 2		
71, 409, 423, 413, 423, 1, 1,		144, 598, 738, 598, 608, 2, 2,		202, 552, 574, 552, 574, 3, 2,		170, 524, 552, 524, 552, 4, 2,		152, 782, 785, 782, 785, 5, 2,		49, 396, 416, 396, 416, 6, 1,		173, 392, 416, 392, 416, 7, 2,		190, 344, 360, 344, 360, 8, 2		
93, 425, 435, 425, 435, 1, 1,		143, 620, 645, 620, 645, 2, 2,		92, 574, 592, 574, 592, 3, 2,		202, 552, 574, 552, 574, 4, 2,		77, 785, 797, 785, 787, 5, 1,		68, 416, 422, 416, 422, 6, 1,		69, 416, 432, 416, 432, 7, 1,		98, 382, 396, 382, 396, 8, 1		
45, 435, 475, 435, 475, 1, 1,		94, 645, 705, 645, 705, 2, 1,		63, 592, 596, 592, 596, 3, 1,		185, 528, 608, 574, 608, 4, 1,		64, 787, 789, 787, 789, 5, 1,		137, 422, 458, 422, 430, 6, 1,		1, 432, 444, 432, 444, 7, 1,		173, 392, 416, 396, 416, 8, 2		
191, 475, 483, 475, 478, 1, 1,		20, 701, 707, 705, 707, 2, 1,		85, 596, 598, 596, 598, 3, 2,		144, 598, 738, 608, 738, 4, 2,		168, 789, 804, 790, 798, 5, 1,		146, 430, 444, 430, 444, 6, 1,		97, 444, 458, 444, 458, 7, 2,		200, 416, 430, 416, 430, 8, 1		
0, 478, 524, 478, 524, 1, 2,		169, 707, 735, 707, 735, 2, 1,		75, 598, 604, 598, 604, 3, 2,		2, 737, 743, 738, 743, 4, 2,		101, 797, 809, 798, 804, 5, 1,		137, 422, 458, 444, 458, 6, 1,		148, 458, 464, 458, 464, 7, 2,		137, 422, 458, 430, 444, 8, 1		
170, 524, 552, 524, 552, 1, 2,		2, 737, 743, 737, 740, 2, 2,		37, 604, 608, 604, 608, 3, 2,		138, 740, 757, 743, 757, 4, 2,		114, 804, 807, 804, 807, 5, 2,		148, 458, 464, 458, 464, 6, 2,		6, 464, 470, 464, 470, 7, 2,		97, 444, 458, 444, 458, 8, 2		
185, 528, 608, 552, 574, 1, 1,		138, 740, 757, 740, 743, 2, 2,		108, 608, 620, 608, 620, 3, 1,		81, 754, 759, 757, 759, 4, 1,		155, 807, 809, 807, 809, 5, 1,		6, 464, 470, 464, 470, 6, 2,		27, 470, 488, 470, 488, 7, 2,		177, 458, 466, 458, 466, 8, 1		
92, 574, 592, 574, 592, 1, 2,		120, 743, 747, 743, 747, 2, 2,		143, 620, 645, 620, 645, 3, 2,		157, 759, 769, 759, 768, 4, 1,		0, 0, 0, 0, 0, 0, 0,			151, 488, 508, 488, 508, 6, 2,		116, 508, 569, 508, 569, 7, 2,		27, 470, 488, 470, 488, 8, 2		
159, 593, 595, 593, 595, 1, 1,		4, 747, 750, 747, 750, 2, 1,		119, 645, 658, 645, 658, 3, 2,		181, 757, 781, 768, 781, 4, 1,		0, 0, 0, 0, 0, 0, 0,			116, 508, 569, 508, 569, 6, 2,		110, 569, 583, 569, 583, 7, 2,		151, 488, 508, 488, 508, 8, 2		
85, 596, 598, 596, 598, 1, 2,		156, 750, 754, 750, 754, 2, 1,		60, 658, 668, 658, 668, 3, 2,		154, 781, 785, 782, 785, 4, 2,		0, 0, 0, 0, 0, 0, 0,			131, 569, 575, 569, 575, 6, 1,		33, 593, 613, 593, 613, 7, 2,		110, 569, 583, 569, 583, 8, 2		
