Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
14, 0, 36, 0, 36, 1, 2,		14, 0, 36, 0, 36, 2, 2,		72, 0, 30, 0, 30, 3, 2,		72, 0, 30, 0, 30, 4, 2,		164, 0, 4, 0, 4, 5, 1,		39, 0, 11, 0, 11, 6, 2,		39, 0, 11, 0, 11, 7, 2,		140, 0, 16, 0, 11, 8, 1		
166, 36, 43, 36, 43, 1, 1,		195, 36, 44, 36, 44, 2, 1,		122, 30, 55, 30, 44, 3, 2,		83, 13, 58, 30, 44, 4, 1,		112, 4, 13, 4, 13, 5, 1,		140, 0, 16, 11, 16, 6, 1,		123, 16, 26, 16, 26, 7, 2,		9, 11, 36, 11, 36, 8, 1		
122, 30, 55, 44, 55, 1, 2,		83, 13, 58, 44, 46, 2, 1,		90, 44, 46, 44, 46, 3, 2,		90, 44, 46, 44, 46, 4, 2,		83, 13, 58, 13, 30, 5, 1,		123, 16, 26, 16, 26, 6, 2,		153, 26, 36, 26, 35, 7, 1,		86, 39, 44, 39, 44, 8, 1		
104, 55, 90, 55, 90, 1, 2,		122, 30, 55, 46, 55, 2, 2,		41, 46, 158, 46, 158, 3, 2,		83, 13, 58, 46, 58, 4, 1,		122, 30, 55, 30, 46, 5, 2,		13, 26, 35, 26, 35, 6, 1,		11, 36, 39, 36, 39, 7, 2,		10, 44, 60, 44, 60, 8, 1		
182, 90, 100, 90, 100, 1, 1,		104, 55, 90, 55, 90, 2, 2,		199, 142, 164, 158, 164, 3, 1,		162, 58, 76, 58, 76, 4, 1,		41, 46, 158, 46, 158, 5, 2,		11, 36, 39, 36, 39, 6, 2,		197, 39, 57, 39, 57, 7, 2,		133, 60, 73, 60, 70, 8, 1		
23, 90, 123, 100, 123, 1, 2,		23, 90, 123, 90, 123, 2, 2,		5, 164, 204, 164, 186, 3, 1,		40, 76, 79, 76, 79, 4, 1,		196, 158, 186, 158, 186, 5, 4,		197, 39, 57, 39, 57, 6, 2,		165, 57, 64, 57, 64, 7, 2,		102, 70, 76, 70, 76, 8, 2		
171, 123, 156, 123, 156, 1, 2,		171, 123, 156, 123, 156, 2, 2,		136, 186, 214, 186, 214, 3, 4,		31, 79, 83, 79, 83, 4, 1,		89, 214, 287, 214, 287, 5, 4,		165, 57, 64, 57, 64, 6, 2,		76, 64, 70, 64, 70, 7, 2,		161, 73, 89, 76, 88, 8, 1		
196, 158, 186, 158, 186, 1, 4,		196, 158, 186, 158, 186, 2, 4,		73, 204, 226, 214, 226, 3, 1,		84, 83, 88, 83, 88, 4, 1,		96, 268, 295, 287, 295, 5, 1,		76, 64, 70, 64, 70, 6, 2,		102, 70, 76, 70, 76, 7, 2,		51, 88, 112, 88, 112, 8, 2		
5, 164, 204, 186, 204, 1, 1,		136, 186, 214, 186, 214, 2, 4,		186, 226, 246, 226, 246, 3, 1,		126, 100, 109, 100, 109, 4, 1,		179, 295, 304, 295, 304, 5, 1,		133, 60, 73, 70, 73, 6, 1,		180, 76, 88, 76, 88, 7, 2,		139, 112, 141, 112, 141, 8, 2		
73, 204, 226, 204, 214, 1, 1,		89, 214, 287, 214, 287, 2, 4,		100, 246, 268, 246, 268, 3, 1,		132, 109, 116, 109, 116, 4, 1,		145, 304, 331, 304, 319, 5, 1,		161, 73, 89, 73, 76, 6, 1,		111, 89, 101, 89, 101, 7, 1,		105, 120, 192, 141, 176, 8, 1		
89, 214, 287, 214, 287, 1, 4,		135, 287, 319, 287, 319, 2, 4,		96, 268, 295, 268, 287, 3, 1,		44, 120, 142, 120, 142, 4, 1,		18, 319, 323, 319, 323, 5, 2,		180, 76, 88, 76, 88, 6, 2,		59, 101, 109, 101, 109, 7, 1,		91, 176, 202, 176, 202, 8, 2		
135, 287, 319, 287, 319, 1, 4,		47, 319, 339, 319, 339, 2, 2,		135, 287, 319, 287, 319, 3, 4,		199, 142, 164, 142, 158, 4, 1,		167, 323, 325, 323, 325, 5, 1,		51, 88, 112, 88, 112, 6, 2,		139, 112, 141, 112, 141, 7, 2,		61, 202, 226, 202, 226, 8, 2		
47, 319, 339, 319, 325, 1, 2,		193, 339, 370, 339, 370, 2, 4,		18, 319, 323, 319, 323, 3, 2,		196, 158, 186, 158, 186, 4, 4,		176, 327, 339, 327, 339, 5, 1,		53, 112, 120, 112, 120, 6, 1,		28, 141, 176, 141, 176, 7, 2,		178, 226, 251, 226, 251, 8, 2		
149, 323, 331, 325, 327, 1, 1,		128, 370, 423, 370, 423, 2, 2,		149, 323, 331, 323, 325, 3, 1,		136, 186, 214, 186, 214, 4, 4,		193, 339, 370, 339, 370, 5, 4,		105, 120, 192, 120, 141, 6, 1,		91, 176, 202, 176, 202, 7, 2,		16, 251, 272, 251, 272, 8, 2		
47, 319, 339, 327, 339, 1, 2,		43, 385, 437, 423, 437, 2, 1,		26, 325, 327, 325, 327, 3, 1,		89, 214, 287, 214, 287, 4, 4,		128, 370, 423, 370, 423, 5, 2,		28, 141, 176, 141, 176, 6, 2,		1, 192, 204, 202, 204, 7, 1,		78, 297, 301, 297, 301, 8, 2		
125, 339, 363, 339, 363, 1, 1,		29, 437, 445, 437, 445, 2, 1,		149, 323, 331, 327, 331, 3, 1,		135, 287, 319, 287, 319, 4, 4,		172, 423, 448, 423, 448, 5, 2,		105, 120, 192, 176, 192, 6, 1,		34, 204, 217, 204, 217, 7, 1,		8, 301, 317, 301, 317, 8, 1		
193, 339, 370, 363, 370, 1, 4,		30, 445, 449, 445, 448, 2, 1,		75, 331, 337, 331, 337, 3, 2,		145, 304, 331, 319, 331, 4, 1,		21, 448, 473, 448, 473, 5, 2,		1, 192, 204, 192, 202, 6, 1,		130, 217, 232, 217, 226, 7, 1,		25, 311, 321, 317, 321, 8, 1		
